Id,Time,Machine,Component,Parameter,Value
42,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,126.15
43,2024-08-11T03:19:11.439413Z,Dozer_1,Engine,Engine Oil Pressure,19.66
44,2024-08-11T03:19:11.439413Z,Dozer_1,Engine,Engine Temperature,109.43
45,2024-08-11T03:19:11.439413Z,Dozer_1,Engine,Engine Speed,1809.02
46,2024-08-11T03:19:11.439413Z,Dozer_1,Fuel,Water Fuel,1802.8
47,2024-08-11T03:19:11.439413Z,Dozer_1,Fuel,Fuel Temperature,409.54
48,2024-08-11T03:19:11.439413Z,Dozer_1,Fuel,Fuel Level,0.0
49,2024-08-11T03:19:11.439413Z,Dozer_1,Fuel,Fuel Pressure,32.92
50,2024-08-11T03:19:11.439413Z,Dozer_1,Drive,Brake Control,0.0
51,2024-08-11T03:19:11.439413Z,Dozer_1,Drive,Pedal Sensor,5.45
52,2024-08-11T03:19:11.439413Z,Dozer_1,Drive,Transmission Pressure,197.35
53,2024-08-11T03:19:11.439413Z,Dozer_1,Misc,Air Filter Pressure Drop,13.09
54,2024-08-11T03:19:11.439413Z,Dozer_1,Misc,System Voltage,3.4
55,2024-08-11T03:19:11.439413Z,Dozer_1,Misc,Exhaust Gas Temperature,368.8
56,2024-08-11T03:19:11.439413Z,Dozer_1,Misc,Hydraulic Pump Rate,126.15
57,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Engine,Engine Oil Pressure,65.66
58,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Engine,Engine Temperature,109.43
59,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Engine,Engine Speed,1809.02
60,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Fuel,Water Fuel,1802.8
61,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Fuel,Fuel Temperature,409.54
62,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Fuel,Fuel Level,0.0
63,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Fuel,Fuel Pressure,68.92
64,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Drive,Brake Control,0.0
65,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Drive,Pedal Sensor,5.45
66,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Drive,Transmission Pressure,457.62
67,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,13.09
68,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Misc,System Voltage,19.73
69,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,368.8
70,2024-08-11T03:19:11.439413Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,126.15
71,2024-08-11T03:19:12.452853Z,Excavator_1,Engine,Engine Oil Pressure,65.64
72,2024-08-11T03:19:12.452853Z,Excavator_1,Engine,Engine Temperature,109.12
73,2024-08-11T03:19:12.452853Z,Excavator_1,Engine,Engine Speed,1804.09
74,2024-08-11T03:19:12.452853Z,Excavator_1,Fuel,Water Fuel,1799.14
75,2024-08-11T03:19:12.452853Z,Excavator_1,Fuel,Fuel Temperature,409.4
76,2024-08-11T03:19:12.452853Z,Excavator_1,Fuel,Fuel Level,0.02
77,2024-08-11T03:19:12.452853Z,Excavator_1,Fuel,Fuel Pressure,68.88
78,2024-08-11T03:19:12.452853Z,Excavator_1,Drive,Brake Control,0.02
79,2024-08-11T03:19:12.452853Z,Excavator_1,Drive,Pedal Sensor,5.45
80,2024-08-11T03:19:12.452853Z,Excavator_1,Drive,Transmission Pressure,456.01
81,2024-08-11T03:19:12.452853Z,Excavator_1,Misc,Air Filter Pressure Drop,13.1
82,2024-08-11T03:19:12.452853Z,Excavator_1,Misc,System Voltage,19.73
83,2024-08-11T03:19:12.452853Z,Excavator_1,Misc,Exhaust Gas Temperature,368.42
84,2024-08-11T03:19:12.452853Z,Excavator_1,Misc,Hydraulic Pump Rate,126.11
85,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Engine,Engine Oil Pressure,65.58
86,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Engine,Engine Temperature,108.88
87,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Engine,Engine Speed,1797.62
88,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Fuel,Water Fuel,1797.8
89,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Fuel,Fuel Temperature,409.1
90,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Fuel,Fuel Level,0.02
91,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Fuel,Fuel Pressure,68.79
92,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Drive,Brake Control,0.05
93,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Drive,Pedal Sensor,5.44
94,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Drive,Transmission Pressure,455.5
95,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,13.19
96,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Misc,System Voltage,19.72
97,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,368.06
98,2024-08-11T03:19:12.452853Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,125.61
99,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,65.56
100,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Engine,Engine Temperature,108.44
101,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Engine,Engine Speed,1795.82
102,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Fuel,Water Fuel,1796.44
103,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Fuel,Fuel Temperature,408.96
104,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Fuel,Fuel Level,0.09
105,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Fuel,Fuel Pressure,68.72
106,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Drive,Brake Control,0.06
107,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Drive,Pedal Sensor,5.44
108,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Drive,Transmission Pressure,453.82
109,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,13.24
110,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Misc,System Voltage,19.72
111,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,367.19
112,2024-08-11T03:19:12.452853Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,124.98
113,2024-08-11T03:19:12.452853Z,Dozer_1,Engine,Engine Oil Pressure,65.47
114,2024-08-11T03:19:12.452853Z,Dozer_1,Engine,Engine Temperature,108.12
115,2024-08-11T03:19:12.452853Z,Dozer_1,Engine,Engine Speed,1796.28
116,2024-08-11T03:19:12.452853Z,Dozer_1,Fuel,Water Fuel,1796.45
117,2024-08-11T03:19:12.452853Z,Dozer_1,Fuel,Fuel Temperature,408.71
118,2024-08-11T03:19:12.452853Z,Dozer_1,Fuel,Fuel Level,0.12
119,2024-08-11T03:19:12.452853Z,Dozer_1,Fuel,Fuel Pressure,68.63
120,2024-08-11T03:19:12.452853Z,Dozer_1,Drive,Brake Control,0.09
121,2024-08-11T03:19:12.452853Z,Dozer_1,Drive,Pedal Sensor,5.42
122,2024-08-11T03:19:12.452853Z,Dozer_1,Drive,Transmission Pressure,452.31
123,2024-08-11T03:19:12.452853Z,Dozer_1,Misc,Air Filter Pressure Drop,13.33
124,2024-08-11T03:19:12.452853Z,Dozer_1,Misc,System Voltage,19.71
125,2024-08-11T03:19:12.452853Z,Dozer_1,Misc,Exhaust Gas Temperature,366.58
126,2024-08-11T03:19:12.452853Z,Dozer_1,Misc,Hydraulic Pump Rate,124.96
127,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Engine,Engine Oil Pressure,65.37
128,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Engine,Engine Temperature,108.02
129,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Engine,Engine Speed,1800.91
130,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Fuel,Water Fuel,1797.13
131,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Fuel,Fuel Temperature,408.36
132,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Fuel,Fuel Level,0.14
133,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Fuel,Fuel Pressure,68.59
134,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Drive,Brake Control,0.12
135,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Drive,Pedal Sensor,5.41
136,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Drive,Transmission Pressure,451.47
137,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,13.38
138,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Misc,System Voltage,19.71
139,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,366.07
140,2024-08-11T03:19:12.452853Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,124.88
141,2024-08-11T03:19:13.466233Z,Excavator_1,Engine,Engine Oil Pressure,65.35
142,2024-08-11T03:19:13.466233Z,Excavator_1,Engine,Engine Temperature,107.53
143,2024-08-11T03:19:13.466233Z,Excavator_1,Engine,Engine Speed,1792.55
144,2024-08-11T03:19:13.466233Z,Excavator_1,Fuel,Water Fuel,1794.95
145,2024-08-11T03:19:13.466233Z,Excavator_1,Fuel,Fuel Temperature,408.18
146,2024-08-11T03:19:13.466233Z,Excavator_1,Fuel,Fuel Level,0.2
147,2024-08-11T03:19:13.466233Z,Excavator_1,Fuel,Fuel Pressure,68.51
148,2024-08-11T03:19:13.466233Z,Excavator_1,Drive,Brake Control,0.13
149,2024-08-11T03:19:13.466233Z,Excavator_1,Drive,Pedal Sensor,5.41
150,2024-08-11T03:19:13.466233Z,Excavator_1,Drive,Transmission Pressure,449.54
151,2024-08-11T03:19:13.466233Z,Excavator_1,Misc,Air Filter Pressure Drop,13.39
152,2024-08-11T03:19:13.466233Z,Excavator_1,Misc,System Voltage,19.7
153,2024-08-11T03:19:13.466233Z,Excavator_1,Misc,Exhaust Gas Temperature,365.1
154,2024-08-11T03:19:13.466233Z,Excavator_1,Misc,Hydraulic Pump Rate,124.75
155,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Engine,Engine Oil Pressure,65.32
156,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Engine,Engine Temperature,107.27
157,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Engine,Engine Speed,1792.46
158,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Fuel,Water Fuel,1796.6
159,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Fuel,Fuel Temperature,407.91
160,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Fuel,Fuel Level,0.21
161,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Fuel,Fuel Pressure,68.42
162,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Drive,Brake Control,0.14
163,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Drive,Pedal Sensor,5.4
164,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Drive,Transmission Pressure,450.44
165,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,13.44
166,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Misc,System Voltage,19.7
167,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,364.46
168,2024-08-11T03:19:13.466233Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,125.01
169,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,65.27
170,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Engine,Engine Temperature,106.94
171,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Engine,Engine Speed,1789.78
172,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Fuel,Water Fuel,1796.61
173,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Fuel,Fuel Temperature,407.88
174,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Fuel,Fuel Level,0.22
175,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Fuel,Fuel Pressure,68.35
176,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Drive,Brake Control,0.17
177,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Drive,Pedal Sensor,5.38
178,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Drive,Transmission Pressure,449.72
179,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,13.47
180,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Misc,System Voltage,19.69
181,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,364.06
182,2024-08-11T03:19:13.466233Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,124.83
183,2024-08-11T03:19:13.466233Z,Dozer_1,Engine,Engine Oil Pressure,65.25
184,2024-08-11T03:19:13.466233Z,Dozer_1,Engine,Engine Temperature,106.85
185,2024-08-11T03:19:13.466233Z,Dozer_1,Engine,Engine Speed,1784.92
186,2024-08-11T03:19:13.466233Z,Dozer_1,Fuel,Water Fuel,1794.83
187,2024-08-11T03:19:13.466233Z,Dozer_1,Fuel,Fuel Temperature,407.61
188,2024-08-11T03:19:13.466233Z,Dozer_1,Fuel,Fuel Level,0.28
189,2024-08-11T03:19:13.466233Z,Dozer_1,Fuel,Fuel Pressure,68.32
190,2024-08-11T03:19:13.466233Z,Dozer_1,Drive,Brake Control,0.17
191,2024-08-11T03:19:13.466233Z,Dozer_1,Drive,Pedal Sensor,5.37
192,2024-08-11T03:19:13.466233Z,Dozer_1,Drive,Transmission Pressure,449.64
193,2024-08-11T03:19:13.466233Z,Dozer_1,Misc,Air Filter Pressure Drop,13.51
194,2024-08-11T03:19:13.466233Z,Dozer_1,Misc,System Voltage,19.68
195,2024-08-11T03:19:13.466233Z,Dozer_1,Misc,Exhaust Gas Temperature,364.25
196,2024-08-11T03:19:13.466233Z,Dozer_1,Misc,Hydraulic Pump Rate,124.37
197,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Engine,Engine Oil Pressure,65.17
198,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Engine,Engine Temperature,106.73
199,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Engine,Engine Speed,1782.99
200,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Fuel,Water Fuel,1793.09
201,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Fuel,Fuel Temperature,407.36
202,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Fuel,Fuel Level,0.36
203,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Fuel,Fuel Pressure,68.23
204,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Drive,Brake Control,0.21
205,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Drive,Pedal Sensor,5.36
206,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Drive,Transmission Pressure,449.66
207,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,13.53
208,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Misc,System Voltage,19.68
209,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,364.04
210,2024-08-11T03:19:13.466233Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,123.92
211,2024-08-11T03:19:14.478051Z,Excavator_1,Engine,Engine Oil Pressure,65.16
212,2024-08-11T03:19:14.478051Z,Excavator_1,Engine,Engine Temperature,106.54
213,2024-08-11T03:19:14.478051Z,Excavator_1,Engine,Engine Speed,1784.26
214,2024-08-11T03:19:14.478051Z,Excavator_1,Fuel,Water Fuel,1791.16
215,2024-08-11T03:19:14.478051Z,Excavator_1,Fuel,Fuel Temperature,407.31
216,2024-08-11T03:19:14.478051Z,Excavator_1,Fuel,Fuel Level,0.4
217,2024-08-11T03:19:14.478051Z,Excavator_1,Fuel,Fuel Pressure,68.2
218,2024-08-11T03:19:14.478051Z,Excavator_1,Drive,Brake Control,0.25
219,2024-08-11T03:19:14.478051Z,Excavator_1,Drive,Pedal Sensor,5.35
220,2024-08-11T03:19:14.478051Z,Excavator_1,Drive,Transmission Pressure,449.02
221,2024-08-11T03:19:14.478051Z,Excavator_1,Misc,Air Filter Pressure Drop,13.56
222,2024-08-11T03:19:14.478051Z,Excavator_1,Misc,System Voltage,19.68
223,2024-08-11T03:19:14.478051Z,Excavator_1,Misc,Exhaust Gas Temperature,363.92
224,2024-08-11T03:19:14.478051Z,Excavator_1,Misc,Hydraulic Pump Rate,123.92
225,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Engine,Engine Oil Pressure,65.14
226,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Engine,Engine Temperature,106.49
227,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Engine,Engine Speed,1782.46
228,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Fuel,Water Fuel,1791.53
229,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Fuel,Fuel Temperature,406.95
230,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Fuel,Fuel Level,0.4
231,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Fuel,Fuel Pressure,68.11
232,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Drive,Brake Control,0.29
233,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Drive,Pedal Sensor,5.33
234,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Drive,Transmission Pressure,449.24
235,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,13.62
236,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Misc,System Voltage,19.67
237,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,363.66
238,2024-08-11T03:19:14.478051Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,124.14
239,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,65.13
240,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Engine,Engine Temperature,106.01
241,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Engine,Engine Speed,1779.98
242,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Fuel,Water Fuel,1789.78
243,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Fuel,Fuel Temperature,406.79
244,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Fuel,Fuel Level,0.47
245,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Fuel,Fuel Pressure,68.09
246,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Drive,Brake Control,0.31
247,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Drive,Pedal Sensor,5.31
248,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Drive,Transmission Pressure,449.24
249,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,13.63
250,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Misc,System Voltage,19.67
251,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,364.14
252,2024-08-11T03:19:14.478051Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,124.38
253,2024-08-11T03:19:14.478051Z,Dozer_1,Engine,Engine Oil Pressure,65.07
254,2024-08-11T03:19:14.478051Z,Dozer_1,Engine,Engine Temperature,105.77
255,2024-08-11T03:19:14.478051Z,Dozer_1,Engine,Engine Speed,1783.51
256,2024-08-11T03:19:14.478051Z,Dozer_1,Fuel,Water Fuel,1791.91
257,2024-08-11T03:19:14.478051Z,Dozer_1,Fuel,Fuel Temperature,406.56
258,2024-08-11T03:19:14.478051Z,Dozer_1,Fuel,Fuel Level,0.54
259,2024-08-11T03:19:14.478051Z,Dozer_1,Fuel,Fuel Pressure,68.03
260,2024-08-11T03:19:14.478051Z,Dozer_1,Drive,Brake Control,0.34
261,2024-08-11T03:19:14.478051Z,Dozer_1,Drive,Pedal Sensor,5.3
262,2024-08-11T03:19:14.478051Z,Dozer_1,Drive,Transmission Pressure,448.35
263,2024-08-11T03:19:14.478051Z,Dozer_1,Misc,Air Filter Pressure Drop,13.63
264,2024-08-11T03:19:14.478051Z,Dozer_1,Misc,System Voltage,19.66
265,2024-08-11T03:19:14.478051Z,Dozer_1,Misc,Exhaust Gas Temperature,364.59
266,2024-08-11T03:19:14.478051Z,Dozer_1,Misc,Hydraulic Pump Rate,124.14
267,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Engine,Engine Oil Pressure,65.02
268,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Engine,Engine Temperature,105.56
269,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Engine,Engine Speed,1779.21
270,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Fuel,Water Fuel,1792.81
271,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Fuel,Fuel Temperature,406.27
272,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Fuel,Fuel Level,0.56
273,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Fuel,Fuel Pressure,68.02
274,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Drive,Brake Control,0.38
275,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Drive,Pedal Sensor,5.29
276,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Drive,Transmission Pressure,447.97
277,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,13.67
278,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Misc,System Voltage,19.66
279,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,364.59
280,2024-08-11T03:19:14.478051Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,123.68
281,2024-08-11T03:19:15.495422Z,Excavator_1,Engine,Engine Oil Pressure,64.96
282,2024-08-11T03:19:15.495422Z,Excavator_1,Engine,Engine Temperature,105.54
283,2024-08-11T03:19:15.495422Z,Excavator_1,Engine,Engine Speed,1782.0
284,2024-08-11T03:19:15.495422Z,Excavator_1,Fuel,Water Fuel,1794.69
285,2024-08-11T03:19:15.495422Z,Excavator_1,Fuel,Fuel Temperature,406.21
286,2024-08-11T03:19:15.495422Z,Excavator_1,Fuel,Fuel Level,0.59
287,2024-08-11T03:19:15.495422Z,Excavator_1,Fuel,Fuel Pressure,68.02
288,2024-08-11T03:19:15.495422Z,Excavator_1,Drive,Brake Control,0.42
289,2024-08-11T03:19:15.495422Z,Excavator_1,Drive,Pedal Sensor,5.28
290,2024-08-11T03:19:15.495422Z,Excavator_1,Drive,Transmission Pressure,447.06
291,2024-08-11T03:19:15.495422Z,Excavator_1,Misc,Air Filter Pressure Drop,13.73
292,2024-08-11T03:19:15.495422Z,Excavator_1,Misc,System Voltage,19.66
293,2024-08-11T03:19:15.495422Z,Excavator_1,Misc,Exhaust Gas Temperature,365.08
294,2024-08-11T03:19:15.495422Z,Excavator_1,Misc,Hydraulic Pump Rate,124.13
295,2024-08-11T03:19:15.495422Z,Articulated_Truck_1,Engine,Engine Oil Pressure,64.91
296,2024-08-11T03:19:15.495422Z,Articulated_Truck_1,Engine,Engine Temperature,105.08
297,2024-08-11T03:19:15.495422Z,Articulated_Truck_1,Engine,Engine Speed,1781.5
